Manufacture,Console,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
sony,PlayStation 2 (PS2),53.65,55.28,23.18,25.57,157.68
nintendo,Nintendo DS (DS),57.39,52.07,33.01,12.43,154.90
nintendo,Game Boy (GB),43.18,40.05,32.47,2.99,118.69
sony,PlayStation 4 (PS4),36.29,45.03,9.12,19.25,109.69
nintendo,PlayStation (PS),40.78,31.09,21.59,9.04,102.50
nintendo,Wii (Wii),45.51,33.88,12.77,9.48,101.64
sony,PlayStation 3 (PS3),29.42,34.99,10.47,12.53,87.41
microsoft,Xbox 360 (X360),49.11,25.87,1.66,9.16,85.80
nintendo,Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
nintendo,PlayStation Portable (PSP),21.41,24.41,20.01,15.26,81.09
nintendo,Nintendo 3DS (3DS),25.29,20.97,24.60,4.36,75.22
nintendo,Nintendo Entertainment System (NES),33.49,8.30,19.35,0.77,61.91
nintendo,Nintendo Switch (NS),20.77,14.36,13.40,7.13,55.66
nintendo,Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.90,49.10
microsoft,Xbox One (XOne),30.66,11.86,0.11,4.69,47.32
nintendo,Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
sega,Sega Genesis (GEN),16.98,8.39,3.58,0.59,29.54
atari,Atari 2600 (2600),23.54,3.35,0.00,0.75,27.64
microsoft,Xbox (XB),15.77,7.17,0.53,1.18,24.65
nintendo,GameCube (GC),12.55,4.44,4.04,0.71,21.74
sony,PlayStation Vita (PSV),2.64,5.24,5.92,2.41,16.21
nintendo,Wii U (WiiU),6.23,3.54,3.33,0.87,13.97
sega,GameGear (GG),5.40,3.23,1.78,0.21,10.62
sega,Sega Saturn (SAT),1.83,1.12,5.80,0.07,8.82
sega,Dreamcast (DC),3.90,1.91,2.25,0.14,8.20